# spike	reduction-tree-width-interactions
# mode	TreeWidthInteractions
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	f9bac263c0a140f5843667550a0b5373cc7a21c784dbefb79f837bf4fc6c7b29
# load_before	4.33 3.79 3.75
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
8	900	7200	single-workgroup-tree	60	15	-	60	240	2	30	64	109.459	131.458	181.500	32.696	484.667	529.834	576.875	44.061	5.9557	6.3234	1.2184	measured
8	900	7200	single-workgroup-tree	75	12	-	75	304	2	30	64	116.375	127.750	175.041	24.762	429.125	468.500	513.250	31.356	4.9643	5.4087	0.8908	measured
8	900	7200	single-workgroup-tree	90	10	-	90	368	2	30	64	113.125	136.291	166.625	21.701	579.375	633.416	730.167	55.890	7.4008	7.8909	1.2316	measured
8	900	7200	single-workgroup-tree	100	9	-	100	400	2	30	64	115.375	133.584	184.875	25.686	361.375	420.417	474.875	43.057	3.9048	4.5529	1.0912	measured
8	900	7200	single-workgroup-tree	150	6	-	150	608	2	30	64	110.875	139.125	185.042	38.145	762.584	826.875	919.625	48.243	10.3446	10.9167	1.3712	measured
8	900	7200	single-workgroup-tree	180	5	-	180	720	2	30	64	116.042	129.583	184.041	25.984	860.291	959.792	1024.833	50.722	11.8135	13.1779	1.2176	measured
8	900	7200	single-workgroup-tree	225	4	production	225	912	2	30	64	115.708	127.791	176.084	23.635	414.542	471.625	518.458	43.441	4.7434	5.4577	1.0647	measured
8	900	7200	single-workgroup-tree	300	3	-	300	1200	2	30	64	115.917	139.833	181.583	34.342	429.834	479.750	522.792	49.728	4.9828	5.3955	1.3344	measured
8	900	7200	single-workgroup-tree	450	2	-	450	1808	2	30	64	135.875	149.500	201.583	32.602	1718.166	1868.583	1999.709	100.657	25.1157	27.2870	2.1152	measured
8	1006	8048	single-workgroup-tree	2	503	-	2	16	2	30	64	163.875	170.458	204.333	28.783	1729.667	1865.250	1992.833	98.050	24.8538	26.9015	2.0132	measured
8	1006	8048	single-workgroup-tree	503	2	production	503	2016	2	30	64	159.042	162.291	169.750	9.253	1225.917	1376.375	1536.833	115.444	16.9345	19.2712	1.9793	measured
8	1082	8656	single-workgroup-tree	2	541	production	2	16	2	30	64	145.000	164.000	175.875	24.141	701.542	746.333	861.750	61.642	8.8340	9.2434	1.3616	measured
8	1082	8656	single-workgroup-tree	541	2	-	541	2176	2	30	64	135.417	164.209	181.292	23.725	571.041	602.625	670.541	39.812	6.9147	6.9590	1.0085	measured
8	1280	10240	single-workgroup-tree	2	640	-	2	16	2	30	64	125.000	136.458	163.458	15.653	966.417	1159.083	1238.708	93.021	13.3558	16.2321	1.7250	measured
8	1280	10240	single-workgroup-tree	4	320	-	4	16	2	30	64	118.375	125.666	153.167	31.622	594.958	649.541	706.875	41.013	7.5648	8.3155	1.1529	measured
8	1280	10240	single-workgroup-tree	5	256	-	5	32	2	30	64	107.917	122.500	154.250	31.816	493.041	525.375	561.125	22.803	6.1131	6.3948	0.8670	measured
8	1280	10240	single-workgroup-tree	8	160	-	8	32	2	30	64	115.041	123.500	152.875	17.496	602.917	641.292	694.750	31.893	7.7441	8.2189	0.7839	measured
8	1280	10240	single-workgroup-tree	10	128	-	10	48	2	30	64	118.208	133.083	160.958	27.766	884.041	955.125	1028.208	43.919	12.1561	13.0483	1.1379	measured
8	1280	10240	single-workgroup-tree	16	80	-	16	64	2	30	64	115.167	125.917	149.917	12.716	677.208	726.500	765.792	40.598	8.9213	9.5331	0.8463	measured
8	1280	10240	single-workgroup-tree	20	64	-	20	80	2	30	64	114.833	120.542	151.875	34.329	350.708	382.417	412.583	19.592	3.7440	4.1567	0.8559	measured
8	1280	10240	single-workgroup-tree	32	40	-	32	128	2	30	64	113.084	121.916	151.708	30.484	435.834	458.667	488.375	26.444	5.1230	5.3453	0.9036	measured
8	1280	10240	single-workgroup-tree	40	32	-	40	160	2	30	64	114.208	122.917	151.042	15.084	464.958	492.750	530.792	49.836	5.5675	5.8704	1.0305	measured
8	1280	10240	single-workgroup-tree	64	20	-	64	256	2	30	64	116.167	122.375	154.792	31.150	337.500	360.459	374.417	30.114	3.5132	3.7791	0.9724	measured
8	1280	10240	single-workgroup-tree	80	16	-	80	320	2	30	64	113.625	125.833	151.959	15.708	555.791	582.125	646.959	37.257	7.0185	7.2427	0.8407	measured
8	1280	10240	single-workgroup-tree	128	10	-	128	512	2	30	64	116.208	122.583	150.917	14.538	698.917	751.209	811.500	40.460	9.2493	9.9782	0.8730	measured
8	1280	10240	single-workgroup-tree	160	8	-	160	640	2	30	64	113.166	123.334	154.459	41.920	504.458	539.000	584.583	33.105	6.2110	6.5979	1.1909	measured
8	1280	10240	single-workgroup-tree	256	5	production	256	1024	2	30	64	114.375	123.792	153.375	15.538	431.834	453.166	471.709	17.163	5.0390	5.2282	0.5191	measured
8	1280	10240	single-workgroup-tree	320	4	-	320	1280	2	30	64	113.875	121.917	152.625	15.070	486.875	513.542	518.333	31.916	5.9206	6.2163	0.7458	measured
8	1280	10240	single-workgroup-tree	640	2	-	640	2560	2	30	64	117.041	123.709	151.958	34.999	715.667	740.292	807.500	41.106	9.5020	9.7870	1.2080	measured
