# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.88 3.13 3.40
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
256	16384	4194304	single-workgroup-tree	64	256	-	64	256	2	30	64	358.000	381.500	396.250	12.974	13026.833	13167.833	13230.250	60.223	201.0926	202.9577	1.1618	measured
256	16384	4194304	single-workgroup-tree	128	128	governed	128	512	2	30	64	366.875	395.958	404.667	36.938	13571.417	13763.417	13826.375	97.162	209.5959	212.1819	2.1286	measured
256	16384	4194304	single-workgroup-tree	256	64	-	256	1024	2	30	64	349.583	388.083	395.500	15.380	13087.875	13271.708	13311.792	67.749	202.1951	204.5020	1.3195	measured
256	16384	4194304	single-workgroup-tree	512	32	-	512	2048	2	30	64	368.083	397.291	416.334	14.650	14352.125	14541.000	14623.417	97.135	221.9689	224.5033	1.7744	measured
256	16384	4194304	single-workgroup-tree	1024	16	-	1024	4096	2	30	64	355.291	392.708	401.958	25.653	13500.291	13715.500	13776.333	92.360	208.6508	211.4729	1.8732	measured
256	16384	4194304	single-workgroup-tree	2048	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	single-workgroup-tree	4096	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	single-workgroup-tree	8192	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the canonical tree tile is unrepresentable
1024	4096	4194304	multi-pass-split	2	2048	-	1	0	3	30	64	359.500	380.042	432.125	943.511	13759.500	14039.416	14108.625	121.342	212.6984	216.8155	16.9024	measured
1024	4096	4194304	multi-pass-split	4	1024	-	1	0	3	30	64	350.959	370.750	390.916	59.297	13304.833	13494.917	13663.958	133.504	205.6170	208.3201	3.0603	measured
1024	4096	4194304	multi-pass-split	8	512	-	1	0	3	30	64	348.250	368.125	400.209	35.977	13046.042	13299.208	13351.750	119.240	201.5523	205.2553	2.4638	measured
1024	4096	4194304	multi-pass-split	16	256	-	1	0	3	30	64	351.666	365.708	413.209	68.750	13040.959	13342.333	13389.750	125.654	201.4173	205.9782	3.0858	measured
1024	4096	4194304	multi-pass-split	32	128	-	1	0	3	30	64	352.458	368.750	383.708	16.531	13344.583	13640.625	13697.292	135.124	206.2242	210.6647	2.4072	measured
1024	4096	4194304	multi-pass-split	64	64	governed	1	0	3	30	64	348.209	366.583	436.291	696.200	12991.916	13233.583	13326.750	122.254	200.6938	204.2381	12.9913	measured
1024	4096	4194304	multi-pass-split	128	32	-	1	0	3	30	64	353.791	382.125	388.750	120.692	13870.583	14164.583	14278.209	152.093	214.5523	218.7692	4.3299	measured
1024	4096	4194304	multi-pass-split	256	16	-	1	0	3	30	64	350.083	365.333	388.916	19.403	13112.584	13333.667	13409.292	111.591	202.5794	205.8466	2.0793	measured
1024	4096	4194304	multi-pass-split	512	8	-	1	0	3	30	64	361.916	380.334	397.125	32.550	13763.167	14008.125	14080.792	124.954	212.7183	216.3141	2.5001	measured
1024	4096	4194304	multi-pass-split	1024	4	-	1	0	3	30	64	385.292	404.666	427.625	19.216	14989.667	15168.125	15340.500	136.385	231.8155	234.3406	2.4698	measured
1024	4096	4194304	multi-pass-split	2048	2	-	1	0	3	30	64	432.166	458.000	497.542	40.739	18367.542	18625.125	18686.458	123.277	284.6885	288.3671	2.6034	measured
1024	4096	4194304	single-workgroup-tree	2	2048	-	2	16	2	30	64	373.417	396.708	436.875	68.585	15057.792	15254.209	15314.750	93.317	233.0853	235.8333	2.5699	measured
1024	4096	4194304	single-workgroup-tree	4	1024	-	4	16	2	30	64	355.791	374.083	396.584	31.960	13586.584	13794.292	13831.959	94.142	210.0126	213.0192	2.0016	measured
1024	4096	4194304	single-workgroup-tree	8	512	-	8	32	2	30	64	350.875	365.541	399.708	52.163	12998.500	13185.000	13255.083	91.993	200.7560	203.4835	2.2882	measured
1024	4096	4194304	single-workgroup-tree	16	256	-	16	64	2	30	64	340.167	364.125	377.917	606.096	12979.292	13130.000	13237.708	89.789	200.6210	202.6329	11.0458	measured
1024	4096	4194304	single-workgroup-tree	32	128	-	32	128	2	30	64	346.792	369.583	393.666	445.223	13287.500	13449.625	13539.750	87.602	205.4081	207.6197	8.4575	measured
1024	4096	4194304	single-workgroup-tree	64	64	governed	64	256	2	30	64	336.625	363.041	374.083	266.241	12901.834	13113.750	13165.375	95.730	199.4478	202.3922	5.7456	measured
1024	4096	4194304	single-workgroup-tree	128	32	-	128	512	2	30	64	363.208	379.125	436.583	282.366	13712.542	13916.917	13967.875	95.806	211.8942	214.8856	6.0027	measured
1024	4096	4194304	single-workgroup-tree	256	16	-	256	1024	2	30	64	343.541	366.208	412.833	91.228	12977.709	13188.042	13227.834	79.921	200.5423	203.5212	2.7166	measured
1024	4096	4194304	single-workgroup-tree	512	8	-	512	2048	2	30	64	344.834	367.125	399.917	140.366	13280.291	13470.584	13511.750	82.674	205.3247	207.9914	3.5403	measured
1024	4096	4194304	single-workgroup-tree	1024	4	-	1024	4096	2	30	64	349.667	372.500	401.375	27.647	13583.584	13789.750	13863.875	100.172	210.0622	212.9722	2.0289	measured
1024	4096	4194304	single-workgroup-tree	2048	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
4096	2048	8388608	multi-pass-split	2	1024	-	1	0	3	30	64	579.625	606.917	680.167	42.238	27123.750	27354.792	27406.833	82.771	421.3353	424.5694	1.9843	measured
4096	2048	8388608	multi-pass-split	4	512	-	1	0	3	30	64	572.917	602.625	696.083	52.062	27209.750	27401.541	27454.250	70.913	422.8069	425.3796	1.9520	measured
4096	2048	8388608	multi-pass-split	8	256	-	1	0	3	30	64	582.167	613.292	707.625	48.098	27602.625	27784.500	27861.917	87.332	428.8962	431.2890	2.1497	measured
4096	2048	8388608	multi-pass-split	16	128	-	1	0	3	30	64	586.375	617.625	685.042	63.825	27390.875	27601.834	27693.042	80.279	425.4683	428.3208	2.2874	measured
4096	2048	8388608	multi-pass-split	32	64	-	1	0	3	30	64	590.542	620.667	661.042	37.075	28139.875	28276.792	28337.708	80.579	437.2910	438.9861	1.8675	measured
4096	2048	8388608	multi-pass-split	64	32	governed	1	0	3	30	64	607.709	633.500	714.833	46.520	28631.042	28812.583	28890.459	83.939	444.8148	447.2870	2.0708	measured
4096	2048	8388608	multi-pass-split	128	16	-	1	0	3	30	64	580.458	614.125	725.875	48.127	28019.916	28291.583	28369.083	97.380	435.5470	439.3247	2.3096	measured
4096	2048	8388608	multi-pass-split	256	8	-	1	0	3	30	64	600.458	626.125	742.000	60.388	27848.125	27987.042	28036.459	55.809	432.5027	434.3003	1.8444	measured
4096	2048	8388608	multi-pass-split	512	4	-	1	0	3	30	64	607.125	643.250	747.750	54.419	29028.875	29221.000	29286.458	71.518	451.1389	453.6151	1.9990	measured
