# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.89 3.15 3.76
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
1024	4096	4194304	multi-pass-split	1024	4	-	1	0	3	30	64	384.584	422.625	429.750	18.531	15075.083	15285.083	15355.500	82.691	233.1825	235.9120	1.6067	measured
1024	4096	4194304	multi-pass-split	2048	2	-	1	0	3	30	64	451.583	477.167	524.333	44.303	18454.375	18685.292	18737.209	103.430	285.7586	289.0179	2.3450	measured
1024	4096	4194304	single-workgroup-tree	2	2048	-	2	16	2	30	64	381.584	415.875	458.667	40.850	15146.375	15276.500	15341.458	69.849	234.3618	235.8829	1.7571	measured
1024	4096	4194304	single-workgroup-tree	4	1024	-	4	16	2	30	64	340.542	392.292	404.209	18.755	13643.583	13813.083	13876.750	73.958	211.1594	213.0284	1.4716	measured
1024	4096	4194304	single-workgroup-tree	8	512	-	8	32	2	30	64	359.084	382.292	394.708	13.051	13019.041	13200.958	13244.500	74.570	200.9517	203.4709	1.3908	measured
1024	4096	4194304	single-workgroup-tree	16	256	-	16	64	2	30	64	352.583	382.667	395.125	22.396	13005.042	13171.542	13245.709	80.502	200.8327	202.9980	1.6333	measured
1024	4096	4194304	single-workgroup-tree	32	128	-	32	128	2	30	64	352.459	395.000	400.791	25.300	13288.583	13466.959	13538.792	80.319	205.3353	207.4914	1.6765	measured
1024	4096	4194304	single-workgroup-tree	64	64	governed	64	256	2	30	64	347.000	384.209	395.833	15.891	12929.542	13115.375	13165.208	81.122	199.7229	202.0820	1.5399	measured
1024	4096	4194304	single-workgroup-tree	128	32	-	128	512	2	30	64	356.791	403.042	413.792	30.092	13733.209	13931.291	13972.875	75.612	212.3241	214.7341	1.6778	measured
1024	4096	4194304	single-workgroup-tree	256	16	-	256	1024	2	30	64	346.709	390.583	404.584	21.659	13009.916	13192.791	13261.042	81.929	201.0033	203.2097	1.6443	measured
1024	4096	4194304	single-workgroup-tree	512	8	-	512	2048	2	30	64	353.542	388.708	403.042	20.593	13292.041	13472.292	13509.000	74.276	205.3730	207.6759	1.5059	measured
1024	4096	4194304	single-workgroup-tree	1024	4	-	1024	4096	2	30	64	356.333	400.416	405.292	25.094	13591.542	13812.500	13853.125	80.653	210.0827	212.8902	1.6785	measured
1024	4096	4194304	single-workgroup-tree	2048	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
4096	2048	8388608	multi-pass-split	2	1024	-	1	0	3	30	64	577.000	661.834	721.041	49.524	27177.416	27386.916	27432.833	80.751	422.2288	424.2077	2.0679	measured
4096	2048	8388608	multi-pass-split	4	512	-	1	0	3	30	64	574.750	648.375	714.708	48.153	27227.375	27392.125	27442.833	73.037	423.0575	424.5040	1.9236	measured
4096	2048	8388608	multi-pass-split	8	256	-	1	0	3	30	64	586.458	680.125	725.666	51.457	27656.792	27835.875	27889.292	67.892	429.6878	431.0437	1.8944	measured
4096	2048	8388608	multi-pass-split	16	128	-	1	0	3	30	64	579.333	653.083	728.042	50.700	27510.334	27703.083	27756.375	84.328	427.4762	429.3651	2.1433	measured
4096	2048	8388608	multi-pass-split	32	64	-	1	0	3	30	64	584.959	680.083	737.875	60.768	28166.208	28340.875	28407.166	62.054	437.7976	439.0602	1.9496	measured
4096	2048	8388608	multi-pass-split	64	32	governed	1	0	3	30	64	618.834	668.708	742.917	46.821	28626.916	28835.917	28913.750	102.479	444.5727	447.0986	2.3698	measured
4096	2048	8388608	multi-pass-split	128	16	-	1	0	3	30	64	607.333	662.000	723.834	39.707	28103.750	28305.959	28360.500	71.874	436.4511	438.7930	1.7711	measured
4096	2048	8388608	multi-pass-split	256	8	-	1	0	3	30	64	599.167	664.792	724.042	44.038	27881.292	28022.750	28173.125	98.804	433.0496	434.2533	2.2673	measured
4096	2048	8388608	multi-pass-split	512	4	-	1	0	3	30	64	607.875	697.875	749.667	47.183	29015.709	29220.250	29291.250	84.826	450.9180	452.7361	2.0954	measured
4096	2048	8388608	multi-pass-split	1024	2	-	1	0	3	30	64	716.458	785.542	857.500	58.350	35818.875	35991.417	36115.084	93.234	557.1812	558.8234	2.4061	measured
4096	2048	8388608	single-workgroup-tree	2	1024	-	2	16	2	30	64	629.542	687.000	745.667	41.777	30181.542	30365.125	30390.625	55.045	469.0794	471.0813	1.5369	measured
4096	2048	8388608	single-workgroup-tree	4	512	-	4	16	2	30	64	599.667	665.833	727.792	45.664	28464.125	28589.709	28672.292	62.690	442.2930	443.2361	1.7199	measured
4096	2048	8388608	single-workgroup-tree	8	256	-	8	32	2	30	64	590.333	672.750	724.875	45.291	27922.625	28066.000	28142.167	76.872	433.8459	434.8135	1.9391	measured
4096	2048	8388608	single-workgroup-tree	16	128	-	16	64	2	30	64	565.500	679.500	743.167	51.510	28209.125	28394.666	28425.917	64.330	438.7877	439.9233	1.8387	measured
4096	2048	8388608	single-workgroup-tree	32	64	-	32	128	2	30	64	611.416	680.084	734.667	41.365	28069.917	28247.875	28299.583	67.737	435.8492	437.5840	1.7318	measured
4096	2048	8388608	single-workgroup-tree	64	32	governed	64	256	2	30	64	602.833	679.083	744.667	51.694	28484.959	28652.334	28708.500	71.435	442.5734	444.0199	1.9544	measured
