# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	4.34 3.37 3.95
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
256	16384	4194304	single-workgroup-tree	8192	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the canonical tree tile is unrepresentable
1024	4096	4194304	multi-pass-split	2	2048	-	1	0	3	30	16	366.792	397.542	424.666	29.585	3594.125	3692.125	3743.291	86.360	215.1555	219.6389	7.7297	measured
1024	4096	4194304	multi-pass-split	4	1024	-	1	0	3	30	16	357.333	387.917	404.083	28.057	3481.333	3582.833	3631.792	52.930	208.2667	212.9944	5.3991	measured
1024	4096	4194304	multi-pass-split	8	512	-	1	0	3	30	16	361.791	387.792	401.542	31.416	3402.167	3507.375	3539.625	53.272	202.6917	207.9722	5.6459	measured
1024	4096	4194304	multi-pass-split	16	256	-	1	0	3	30	16	351.833	386.166	397.583	22.999	3377.125	3490.167	3525.041	42.289	201.6861	206.9334	4.3525	measured
1024	4096	4194304	multi-pass-split	32	128	-	1	0	3	30	16	357.000	391.583	407.958	33.625	3490.709	3573.625	3614.333	45.572	208.9139	212.1361	5.2798	measured
1024	4096	4194304	multi-pass-split	64	64	governed	1	0	3	30	16	356.458	390.375	413.875	38.673	3395.042	3488.958	3564.958	56.712	202.5723	206.5722	6.3590	measured
1024	4096	4194304	multi-pass-split	128	32	-	1	0	3	30	16	362.708	400.625	416.208	36.095	3641.625	3735.834	3760.791	51.867	218.5945	222.3473	5.8642	measured
1024	4096	4194304	multi-pass-split	256	16	-	1	0	3	30	16	355.750	385.291	398.125	44.893	3417.333	3531.709	3561.625	52.601	204.1055	209.7612	6.4996	measured
1024	4096	4194304	multi-pass-split	512	8	-	1	0	3	30	16	368.667	397.333	407.542	12.014	3588.334	3696.875	3749.375	50.159	214.6445	219.9695	4.1449	measured
1024	4096	4194304	multi-pass-split	1024	4	-	1	0	3	30	16	385.750	423.125	433.583	25.595	3932.375	4027.958	4050.042	45.150	236.4417	240.3222	4.7164	measured
1024	4096	4194304	multi-pass-split	2048	2	-	1	0	3	30	16	443.917	480.792	490.583	21.569	4783.708	4843.584	4885.000	34.709	289.3194	290.8528	3.7519	measured
1024	4096	4194304	single-workgroup-tree	2	2048	-	2	16	2	30	16	390.750	425.042	458.542	31.146	3940.083	4000.667	4089.292	52.222	236.6222	238.3750	5.5579	measured
1024	4096	4194304	single-workgroup-tree	4	1024	-	4	16	2	30	16	357.416	391.709	403.625	22.777	3550.459	3621.166	3654.708	29.730	212.8695	215.2971	3.5004	measured
1024	4096	4194304	single-workgroup-tree	8	512	-	8	32	2	30	16	354.042	386.959	399.083	20.655	3382.834	3465.541	3499.750	43.288	201.9195	205.2388	4.2629	measured
1024	4096	4194304	single-workgroup-tree	16	256	-	16	64	2	30	16	347.042	381.417	395.125	13.195	3390.791	3475.375	3498.792	42.005	202.9166	206.2639	3.6800	measured
1024	4096	4194304	single-workgroup-tree	32	128	-	32	128	2	30	16	350.125	392.167	399.833	31.466	3468.375	3533.458	3567.375	37.527	207.8833	209.4194	4.5996	measured
1024	4096	4194304	single-workgroup-tree	64	64	governed	64	256	2	30	16	350.417	382.708	395.709	31.824	3351.083	3443.250	3479.291	37.583	200.0444	204.0361	4.6271	measured
1024	4096	4194304	single-workgroup-tree	128	32	-	128	512	2	30	16	365.667	397.000	407.167	21.460	3585.667	3650.208	3723.083	48.615	214.6667	216.8805	4.6717	measured
1024	4096	4194304	single-workgroup-tree	256	16	-	256	1024	2	30	16	351.000	384.500	396.125	14.086	3386.541	3474.875	3497.667	43.558	202.3694	206.0250	3.8430	measured
1024	4096	4194304	single-workgroup-tree	512	8	-	512	2048	2	30	16	356.625	387.334	398.750	13.102	3479.917	3561.084	3625.584	49.032	208.2195	211.5833	4.1422	measured
1024	4096	4194304	single-workgroup-tree	1024	4	-	1024	4096	2	30	16	362.750	394.625	413.542	25.026	3539.584	3614.333	3652.750	36.222	211.7889	214.6472	4.0832	measured
1024	4096	4194304	single-workgroup-tree	2048	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
4096	2048	8388608	multi-pass-split	2	1024	-	1	0	3	30	16	589.417	669.083	721.167	45.984	6910.083	6998.792	7020.250	27.341	421.3777	421.9806	4.8884	measured
4096	2048	8388608	multi-pass-split	4	512	-	1	0	3	30	16	569.334	649.125	719.750	52.764	6955.459	7037.916	7070.625	39.648	425.7417	425.9194	6.1608	measured
4096	2048	8388608	multi-pass-split	8	256	-	1	0	3	30	16	578.166	647.917	721.791	49.871	7072.666	7130.708	7142.083	24.014	432.9667	432.1861	4.9257	measured
4096	2048	8388608	multi-pass-split	16	128	-	1	0	3	30	16	558.708	643.583	712.000	46.297	7015.917	7103.042	7138.708	54.824	430.4806	430.6306	6.7414	measured
4096	2048	8388608	multi-pass-split	32	64	-	1	0	3	30	16	590.291	689.167	729.209	50.232	7163.208	7231.750	7260.625	34.950	438.1945	436.1722	5.6788	measured
4096	2048	8388608	multi-pass-split	64	32	governed	1	0	3	30	16	596.416	696.667	753.208	53.578	7294.125	7369.708	7405.958	36.166	446.5139	444.8694	5.9829	measured
4096	2048	8388608	multi-pass-split	128	16	-	1	0	3	30	16	604.875	669.875	735.625	43.758	7192.458	7242.000	7277.833	42.625	439.1722	438.1417	5.7588	measured
4096	2048	8388608	multi-pass-split	256	8	-	1	0	3	30	16	614.375	701.000	735.875	48.638	7112.542	7187.208	7233.500	38.801	433.2111	432.4139	5.8293	measured
4096	2048	8388608	multi-pass-split	512	4	-	1	0	3	30	16	624.917	695.584	754.208	50.705	7387.000	7490.958	7524.667	38.987	450.8055	453.0249	5.9794	measured
4096	2048	8388608	multi-pass-split	1024	2	-	1	0	3	30	16	714.917	781.500	835.166	37.026	9121.125	9191.333	9211.083	35.800	560.4139	560.6555	4.8551	measured
4096	2048	8388608	single-workgroup-tree	2	1024	-	2	16	2	30	16	627.291	712.917	762.125	48.164	7714.584	7760.750	7797.666	35.428	472.4862	469.8555	5.5728	measured
4096	2048	8388608	single-workgroup-tree	4	512	-	4	16	2	30	16	604.125	713.834	750.917	49.146	7247.833	7336.250	7367.708	36.080	442.9139	441.4944	5.6817	measured
4096	2048	8388608	single-workgroup-tree	8	256	-	8	32	2	30	16	590.500	654.625	716.917	37.620	7121.959	7171.708	7203.667	40.193	435.4306	434.4722	5.1875	measured
4096	2048	8388608	single-workgroup-tree	16	128	-	16	64	2	30	16	612.750	693.125	735.292	46.989	7163.708	7228.292	7261.208	35.676	436.7305	435.6778	5.5110	measured
4096	2048	8388608	single-workgroup-tree	32	64	-	32	128	2	30	16	584.834	686.250	732.167	49.421	7169.459	7228.208	7258.917	42.924	438.9750	436.1305	6.1563	measured
4096	2048	8388608	single-workgroup-tree	64	32	governed	64	256	2	30	16	591.833	674.666	738.208	46.424	7270.166	7332.459	7367.417	46.015	445.2222	443.8529	6.1626	measured
4096	2048	8388608	single-workgroup-tree	128	16	-	128	512	2	30	16	616.458	683.625	737.125	38.560	7197.125	7254.791	7304.292	36.726	438.7111	438.0777	5.0190	measured
4096	2048	8388608	single-workgroup-tree	256	8	-	256	1024	2	30	16	587.000	676.209	721.917	60.903	7015.708	7073.125	7118.708	31.085	428.5805	426.4611	6.1325	measured
4096	2048	8388608	single-workgroup-tree	512	4	-	512	2048	2	30	16	596.125	646.959	715.959	42.388	7090.458	7157.583	7195.458	33.922	432.9555	434.0416	5.0873	measured
4096	2048	8388608	single-workgroup-tree	1024	2	-	1024	4096	2	30	16	621.000	675.375	729.667	37.480	7401.042	7471.083	7518.250	35.899	452.0028	453.0472	4.8919	measured
16384	32	524288	multi-pass-split	2	16	-	1	0	3	30	16	186.750	220.166	240.875	25.165	598.750	717.916	777.167	44.495	27.4667	33.1833	4.6440	measured
16384	32	524288	multi-pass-split	4	8	-	1	0	3	30	16	198.417	215.000	224.334	25.475	626.875	747.333	800.292	45.980	28.5639	35.4889	4.7637	measured
16384	32	524288	multi-pass-split	8	4	governed	1	0	3	30	16	189.792	218.375	234.250	23.367	682.917	774.334	829.709	44.742	32.8750	37.0639	4.5406	measured
16384	32	524288	multi-pass-split	16	2	-	1	0	3	30	16	193.458	223.084	236.000	12.484	781.500	866.000	959.584	65.029	39.2028	42.8611	5.1675	measured
16384	32	524288	single-workgroup-tree	2	16	-	2	16	2	30	16	205.291	229.500	247.625	13.536	978.250	1028.125	1113.083	44.235	51.5306	53.2417	3.8514	measured
16384	32	524288	single-workgroup-tree	4	8	-	4	16	2	30	16	210.292	239.041	248.917	26.057	988.125	1051.167	1110.250	44.888	51.8555	54.1417	4.7297	measured
16384	32	524288	single-workgroup-tree	8	4	governed	8	32	2	30	16	211.250	238.541	255.250	27.076	974.875	1046.292	1100.125	39.371	50.9083	53.8501	4.4298	measured
16384	32	524288	single-workgroup-tree	16	2	-	16	64	2	30	16	205.625	238.625	248.417	25.697	934.625	1064.167	1143.792	56.476	48.6000	55.0361	5.4782	measured
65536	16	1048576	multi-pass-split	2	8	-	1	0	3	30	16	210.417	232.625	266.958	28.480	1089.125	1158.458	1220.292	48.370	58.5805	61.7222	5.1234	measured
65536	16	1048576	multi-pass-split	4	4	governed	1	0	3	30	16	215.375	233.458	273.875	42.847	1181.583	1246.042	1282.166	28.999	64.4139	67.5056	4.7897	measured
65536	16	1048576	multi-pass-split	8	2	-	1	0	3	30	16	223.625	247.625	277.750	19.382	1331.000	1461.500	1515.458	48.207	73.8250	80.9250	4.5060	measured
65536	16	1048576	single-workgroup-tree	2	8	-	2	16	2	30	16	299.083	328.292	357.833	33.608	2550.042	2591.459	2661.333	45.163	150.0639	150.8778	5.2514	measured
65536	16	1048576	single-workgroup-tree	4	4	governed	4	16	2	30	16	299.042	323.375	349.583	18.945	2503.083	2597.291	2643.542	42.913	146.9361	151.5944	4.1239	measured
65536	16	1048576	single-workgroup-tree	8	2	-	8	32	2	30	16	298.375	326.250	354.166	31.892	2492.834	2589.125	2607.791	43.151	146.2973	150.8583	5.0028	measured

# shapes	7
# variants_attempted	130
# variants_measured	122
# variants_declined	8
# load_after	4.66 3.50 3.98
