layer	position	rank	lane	value_hex	value
18	15	2	7	0xc19e21ed	-19.766565322875977
18	15	3	277	0x4187bd77	16.967512130737305
18	16	0	35	0x4283213c	65.56491088867188
18	16	1	7	0xc1c1dfaf	-24.234220504760742
18	16	2	18	0x41827ae3	16.31000328063965
18	16	3	2	0x4179a44a	15.602609634399414
18	17	0	35	0x42486753	50.10090255737305
18	17	1	277	0x41aa8241	21.313600540161133
18	17	2	2	0x4189cd72	17.22531509399414
18	17	3	28	0x41782d99	15.51113224029541
19	0	0	35	0x45c8729d	6414.32666015625
19	0	1	13	0x441e060a	632.0943603515625
19	0	2	1	0x43b9e0ed	371.7572326660156
19	0	3	277	0xc31e3fbc	-158.24896240234375
19	1	0	35	0x422cfe0e	43.24810028076172
19	1	1	277	0x41f3377d	30.4020938873291
19	1	2	62	0xc1db8127	-27.43806266784668
19	1	3	30	0x41d6c080	26.843994140625
19	2	0	35	0x4227a075	41.90669631958008
19	2	1	62	0xc1d4ad06	-26.584484100341797
19	2	2	18	0x41c14a6d	24.161340713500977
19	2	3	265	0x41a76974	20.926490783691406
19	3	0	35	0x426986be	58.38158416748047
19	3	1	18	0x41cb258a	25.393329620361328
19	3	2	277	0x419385f1	18.440401077270508
19	3	3	164	0xc190d9f3	-18.106420516967773
19	4	0	35	0x425c48f3	55.07123947143555
19	4	1	18	0x41d5fc6c	26.748252868652344
19	4	2	91	0xc1aa9a35	-21.32529640197754
19	4	3	122	0xc19d7190	-19.680450439453125
19	5	0	35	0x41ec45f2	29.53415298461914
19	5	1	18	0x41c86e64	25.05390167236328
19	5	2	28	0x418df030	17.742279052734375
19	5	3	138	0x41832d2a	16.397052764892578
19	6	0	35	0x42753dd8	61.310394287109375
19	6	1	18	0x41c7ed15	24.99076271057129
19	6	2	7	0xc1b7dd28	-22.982986450195312
19	6	3	28	0x41a41b78	20.513412475585938
19	7	0	35	0x423392a5	44.89320755004883
19	7	1	18	0x41cfc9cf	25.973539352416992
19	7	2	277	0x41c7e0ad	24.984704971313477
19	7	3	62	0xc1b7c848	-22.972793579101562
19	8	0	35	0x4297c47a	75.88374328613281
19	8	1	18	0x41ae3af7	21.778791427612305
19	8	2	277	0x41a163d6	20.173748016357422
19	8	3	45	0x41942c66	18.521678924560547
19	9	0	35	0x42bdb740	94.85791015625
19	9	1	45	0x41c56048	24.672012329101562
19	9	2	7	0xc1c1a7e4	-24.20697784423828
19	9	3	41	0x41c12df1	24.147432327270508
19	10	0	35	0x42aefe25	87.49637603759766
19	10	1	7	0xc218a51c	-38.16123962402344
19	10	2	277	0x41af5a83	21.9191951751709
19	10	3	9	0xc1a79fce	-20.95302963256836
19	11	0	35	0x4292842a	73.25813293457031
19	11	1	277	0x42007490	32.11383056640625
19	11	2	18	0x41ce6e5d	25.80388832092285
19	11	3	2	0x41b72d4a	22.897113800048828
19	12	0	35	0x42664006	57.562522888183594
19	12	1	18	0x41bb5c96	23.420207977294922
19	12	2	2	0x41b5ffe6	22.749950408935547
19	12	3	7	0xc1b133e8	-22.150344848632812
19	13	0	35	0x42a95856	84.67253112792969
19	13	1	18	0x41e02c17	28.021528244018555
19	13	2	277	0x41dfd5c4	27.97937774658203
19	13	3	36	0xc1abf62e	-21.49520492553711
19	14	0	35	0x429ed090	79.4073486328125
19	14	1	277	0x41d926da	27.143970489501953
19	14	2	18	0x41d1eb8e	26.24001693725586
19	14	3	2	0x41c249ab	24.28597068786621
19	15	0	35	0x4293d3bf	73.91356658935547
19	15	1	18	0x41f2016a	30.250690460205078
19	15	2	7	0xc1efb9f8	-29.965805053710938
19	15	3	277	0x41c27625	24.307687759399414
19	16	0	35	0x42a8d7b0	84.4212646484375
19	16	1	7	0xc211eb66	-36.479881286621094
19	16	2	2	0x41e30c68	28.381057739257812
19	16	3	18	0x41da1da2	27.264469146728516
19	17	0	35	0x4281f59f	64.97972869873047
19	17	1	2	0x420928dc	34.28990173339844
19	17	2	277	0x41edc2ce	29.72011947631836
19	17	3	18	0x41c529b6	24.645366668701172
20	0	0	35	0x45c89d0a	6419.6298828125
20	0	1	13	0x441e0cfa	632.2027587890625
20	0	2	1	0x43bb350f	374.4145202636719
20	0	3	277	0xc31cb663	-156.7124481201172
20	1	0	35	0x42794435	62.31660842895508
20	1	1	277	0x4219adb5	38.41963577270508
20	1	2	62	0xc205d0b5	-33.45381546020508
20	1	3	157	0xc1f177d5	-30.18351173400879
20	2	0	35	0x426b1892	58.77399444580078
20	2	1	62	0xc1f8846b	-31.06465721130371
20	2	2	265	0x41f05952	30.04361343383789
20	2	3	18	0x41c5127b	24.634023666381836
20	3	0	35	0x429fca46	79.89506530761719
20	3	1	18	0x41e6cfdc	28.85149383544922
20	3	2	144	0x41a32066	20.390819549560547
20	3	3	128	0x41a2c7fa	20.347644805908203
20	4	0	35	0x429256ec	73.16976928710938
20	4	1	18	0x41eb6483	29.4240779876709
20	4	2	91	0xc1da0bd1	-27.255769729614258
20	4	3	122	0xc1ba6123	-23.29743003845215
20	5	0	35	0x42162a9a	37.541603088378906
20	5	1	18	0x41cc8261	25.563661575317383
20	5	2	7	0xc199dfae	-19.23421859741211
20	5	3	28	0x419889b9	19.06724739074707
20	6	0	35	0x429db151	78.84632110595703
20	6	1	7	0xc1f90741	-31.128541946411133
20	6	2	18	0x41d156f2	26.16745376586914
20	6	3	28	0x41b1daa5	22.231760025024414
20	7	0	35	0x427eff83	63.7495231628418
20	7	1	18	0x41d4a216	26.579143524169922
20	7	2	62	0xc1d42b46	-26.521129608154297
20	7	3	13	0x41c11298	24.134078979492188
20	8	0	35	0x42d3ae72	105.84071350097656
20	8	1	45	0x41d29db2	26.32699966430664
20	8	2	18	0x41c6fa4d	24.872217178344727
20	8	3	39	0x41a03511	20.025911331176758
20	9	0	35	0x42f6f654	123.48110961914062
