position	variant	bit_identical_logits	max_abs_deviation	max_ulp_deviation	max_rel_deviation	top32_max_abs_deviation	top32_max_ulp_deviation	greedy_token	greedy_token_agrees	runner_up_gap	deviation_over_gap
9	joint_promoted_outward	1308	4.215538501739502e-05	8164315	0.49253702638834107	2.193450927734375e-05	23	576	true	0.3050212860107422	0.0001382047317704588
10	joint_promoted_outward	3487	2.586841583251953e-05	3333032	0.22418440170445772	1.52587890625e-05	8	3974	true	0.2660789489746094	9.722082837522042e-05
11	joint_promoted_outward	2069	2.574920654296875e-05	5061191	0.35551481287427833	1.71661376953125e-05	17	13876	true	3.142240524291992	8.194537096669436e-06
12	joint_promoted_outward	2320	3.147125244140625e-05	481860	0.04720770528190209	1.52587890625e-05	15	38835	true	4.567880630493164	6.889683638254029e-06
13	joint_promoted_outward	2190	3.075599670410156e-05	1231258	0.09849282360951835	2.09808349609375e-05	11	34208	true	2.2036914825439453	1.395658010557666e-05
14	joint_promoted_outward	2028	3.4868717193603516e-05	2897919	0.17776436438927284	1.33514404296875e-05	10	916	true	5.165983200073242	6.749676846240839e-06
15	joint_promoted_outward	1856	3.7550926208496094e-05	29157496	0.906323457739167	1.9073486328125e-05	10	279	true	3.8442554473876953	9.768062170273634e-06
16	joint_promoted_outward	2710	2.3365020751953125e-05	1013106	0.1071859363069917	1.33514404296875e-05	7	15678	true	3.4881458282470703	6.698407091453216e-06
17	joint_promoted_outward	2995	2.574920654296875e-05	1067969	0.09284448344917491	1.1444091796875e-05	6	5562	true	3.9037609100341797	6.595999892509631e-06
0	joint_unmodified_alternating	469	0.00022101402282714844	38681625	0.96065203719911	0.0001087188720703125	78	2701	true	3.211550712585449	6.881847512512787e-05
1	joint_unmodified_alternating	1010	5.3882598876953125e-05	1847194668	1.321859509107568	2.6702880859375e-05	14	323	true	0.38796043395996094	0.00013888684041041675
2	joint_unmodified_alternating	806	6.771087646484375e-05	5058507	0.373312915900512	1.811981201171875e-05	19	38835	true	5.278984069824219	1.282649759295417e-05
3	joint_unmodified_alternating	734	7.915496826171875e-05	10758548	0.5888795848400742	4.57763671875e-05	48	34208	true	1.9957695007324219	3.966137784582332e-05
4	joint_unmodified_alternating	579	8.535385131835938e-05	3491525	0.29295768006364054	3.24249267578125e-05	34	916	true	5.430543899536133	1.571736697048893e-05
5	joint_unmodified_alternating	467	0.00010585784912109375	18707243	0.7845472813126201	6.198883056640625e-05	65	279	true	4.211824417114258	2.5133490534636895e-05
6	joint_unmodified_alternating	671	0.00010442733764648438	13350486	0.6785340735175586	8.20159912109375e-05	86	15678	true	7.8504180908203125	1.3302137088544856e-05
7	joint_unmodified_alternating	1142	6.961822509765625e-05	3915416	0.2865464589231021	3.62396240234375e-05	34	5562	true	5.706926345825195	1.2198900227367447e-05
8	joint_unmodified_alternating	1274	4.291534423828125e-05	1835695239	1.5153335827405174	3.814697265625e-05	40	13	true	1.3519573211669922	3.174312056037189e-05
9	joint_unmodified_alternating	1245	4.291534423828125e-05	8918435	0.5167866799255036	2.384185791015625e-05	25	576	true	0.3050212860107422	0.00014069622746515424
