layer	tensor	position	stage	sha256	l2_norm	max_abs_head	max_abs_lane	max_abs_hex	max_abs
2	v_heads	13	decode	41a4c2e63ddd7d44d00d8f7c17805685a3c877eae651971940a383cc446a4f9c	4.997464884434236	1	113	0xbf40e6ac	-0.7535197734832764
2	v_heads	14	decode	fe7543c3d857b47a48d991e3f1e87aa92c0a94ca80f1e1ed36f1a64c752f4a07	4.628985988942525	2	32	0x3f02c8ab	0.5108744502067566
2	v_heads	15	decode	16be513bb251342cd765853d4b67755fa52833eb4fa6f65c19dfea5d5cb68bd5	4.642589294332924	6	33	0x3f04cf70	0.5187902450561523
2	v_heads	16	decode	82ca95158ffe1541ee0695adc82de0393e853d36dc6b7e3289d0de5037065764	2.845827278348656	4	112	0xbee47bab	-0.44625601172447205
2	v_heads	17	decode	6cc3ab46c0e239224ea4671bd6e30bb0584099e1ccb6c4f1169d4a6881b0044d	4.8233645689718685	1	70	0xbf21937a	-0.6311565637588501
3	k_rope	0	prefill	d0344bdfbe18d95a29eaa0c832c1ccd0aea8d6741a84bb0642eda78f21b0d647	64.61168949632626	5	63	0x41c38e58	24.444503784179688
3	k_rope	1	prefill	0a556d678b134da916f9a02c220592d6ff503031a71cf1248764c8c78517d6ac	156.85855339398734	4	114	0xc2a24e05	-81.15238189697266
3	k_rope	2	prefill	c5838bc8e3869d31875018334dc784d75a0e53100d289e59a303e62ed026f708	158.08844363662826	4	114	0xc29911fc	-76.53512573242188
3	k_rope	3	prefill	8d7cfde3d8df7a00e49838922a3b1554d1236e1fb923b25850d369097e3af4fa	162.25620483461577	3	114	0x42a59f28	82.81085205078125
3	k_rope	4	prefill	e61df779d1674ebd2bc9803f76d7c4bee656c39b6744ccbc39a8388261a141e2	159.73900038454624	3	114	0x42a25f3c	81.18600463867188
3	k_rope	5	prefill	71c560d1f8901cd4ca1d7fa881bc75e11cf83949b9fdf32c6fdd39592960fb76	161.27405832151356	3	114	0x429f6f35	79.71720123291016
3	k_rope	6	prefill	e22096a43b4f0d7ccc6ee0c4a4ed3080bc48ea4d0bd7309e910021708bb08ca0	169.5926767549224	3	114	0x42b1f0f5	88.97061920166016
3	k_rope	7	prefill	eb2e2dd73d0d0975233cc36fe305818226d53f0fcc89da0eae9d6a79b60d2131	176.96792339250337	4	114	0xc2b56819	-90.70331573486328
3	k_rope	8	prefill	009151173ff9ed866919dd5e61e1c226fb6772990027614969203c9673fe513b	160.33096600560776	4	114	0xc2a71c13	-83.5548324584961
3	k_rope	9	prefill	2efc3f91daf43b2328b26d48eea76c9e6a517b48f06569252db99d365842d290	118.02993908600777	2	114	0xc257e002	-53.96875762939453
3	k_rope	10	decode	86d1d09faff436fc1effebb3f4f4e3b6106653130bf1a99d748ff862ce809aaf	166.0128993537723	3	114	0x42ae2293	87.0675277709961
3	k_rope	11	decode	a653d1474f832dab1b879db3dd71a4084467724cb2becb9f0675a7df8637fdba	176.32018957603313	4	114	0xc2b39eba	-89.81001281738281
3	k_rope	12	decode	3be5591f2b9d1e958f5adcafdeea14a1b4f56a8a9f22a6df39e59ea8e87fefd8	172.7436921844627	4	114	0xc2a0328e	-80.09873962402344
3	k_rope	13	decode	b7f853b805c2505878526e6a0e92053cae943c7745d40d2b41262c162aeda16b	174.93882542188618	3	114	0x42a98f12	84.77943420410156
3	k_rope	14	decode	5c4b7464cc53ac99884bf29cbc3831eb28b772195b6c5425f4ed130bbf4adce3	179.85574761514488	3	114	0x42b59092	90.78236389160156
3	k_rope	15	decode	9a64f1e8bdbf9a2d19907a788f2330979ee24c2a0f328bbd5720244ee5b0bb0f	172.40822855072446	3	114	0x42a9679b	84.70235443115234
3	k_rope	16	decode	12b634732735ff4d10e82a36afdcb9104ecf1fb5b5f65bbd09000a26b288fe0c	182.4197820202975	3	114	0x42bde819	94.95331573486328
3	k_rope	17	decode	fbc263911e1c8d7217164f6823f23235bec6184471ffd2b495bfa5dc195d51f2	187.35806979434412	4	114	0xc2bff73f	-95.98290252685547
3	v_heads	0	prefill	857aac78184ccdd2a1c20d127c762c298fd90e108f6ffbdf2c88c76899ebddfb	1.1552429594713016	0	126	0xbed236f4	-0.4105755090713501
3	v_heads	1	prefill	671fc2573012e269d6704ad89e6d55b0a12d596e50c536b17e1837541b89a69f	12.648914064019204	4	47	0xc00275b3	-2.038433790206909
3	v_heads	2	prefill	ba883df9146835c1b1e774e5c18eccbb5a11e92c9700a4408e7e2a8acaa7e8af	12.410015287212927	4	47	0xc0087ec7	-2.132737874984741
3	v_heads	3	prefill	f268fde0388a591f35d464b90fe5d2b2aaa89b7b873f46b41ee92c0988515c86	12.485417020686645	4	47	0xc0064218	-2.0977840423583984
3	v_heads	4	prefill	b97538e5ec4a7d78ffc1fa2b08e0d7f8016a1ced9d79dad9c133fcdaa4f6379f	12.703811357757795	2	119	0x3fe181a2	1.7617685794830322
3	v_heads	5	prefill	b5ddf4827438115ba1c271cfc01375324cd8c7f3211dcd9f48bf91a959040798	14.092187902411025	2	119	0x40216556	2.5218100547790527
3	v_heads	6	prefill	e02a89cd176584306b137506d35575b2a5b9a65a3c555d52002dbab44e16dcdb	9.832109480619486	2	119	0x40053034	2.0810670852661133
3	v_heads	7	prefill	b3edf77d2bd92ba10c198222e3bcf4cc19e4299806991bd43d7eedadda7586e1	11.746601386459277	4	47	0xc00b3362	-2.175011157989502
3	v_heads	8	prefill	99d2dac2fbbcd8657db8ce3a5e1cccec23838bcfcca6efb42f55392614a5be56	11.767563562398964	4	47	0xc005a0c0	-2.0879364013671875
3	v_heads	9	prefill	56b7e40132bdd2a6425f075b404cde7fd317c687491dfd3a327b012c6591fd90	9.579214386740261	3	11	0xbff707d5	-1.9299265146255493
3	v_heads	10	decode	9eca2529bd7297bdf3e394e1091486148f0b24a554d1c7b99a4e5c15b25b6645	9.239337505101423	2	119	0x3febee93	1.843218207359314
3	v_heads	11	decode	51ea51c73d937ff37012fcdac58f4a757d4cb4ba05607e926a8862807917a8b6	12.611144768928707	4	47	0xbffdd1bc	-1.9829630851745605
3	v_heads	12	decode	24099c03eeb75baab3b47b4e7a20f14b30db15d2bde58384fa93e2908d0fc366	12.883151381016747	4	47	0xc009dcc4	-2.154099464416504
3	v_heads	13	decode	021a2aeb7942bd03d5ca70b21a933172a48d2435e1ef51e101842a45f167999c	12.59222227513812	4	47	0xbffed6a6	-1.9909255504608154
3	v_heads	14	decode	7e3984f9cefbe67eb365191e1fce44bf0581e72dd63fadf302cd4b25b7e5882e	12.851174169968793	1	90	0xbff6df19	-1.9286834001541138
3	v_heads	15	decode	005ec178bdf3734c0d05b31a9de759c9c5b392759ca43cf05c0fd3c6c45e149f	13.9990353892014	2	119	0x401d0d4f	2.453937292098999
3	v_heads	16	decode	e0a71bedf2496da7beb8db1239793f1bd2cdb8c76f4146ad873ef98710582fdb	9.559562013058136	2	119	0x3fffd91c	1.9988131523132324
3	v_heads	17	decode	8a628e05464acb07d70b64caa52cbe77464a4059a8abb421b896f0d65326bb77	11.848945025325722	4	47	0xc008fcab	-2.1404216289520264
4	k_rope	0	prefill	b62e438dbd5ddf8ea5ba3149fb78580c5d7687c96cb6cd2fa50bbcd7cdb5cca7	47.63177491505371	1	123	0x418e96ce	17.82363510131836
4	k_rope	1	prefill	bca66f976b18b0bf9449f6b2daf3f2936b2bed40ac72f9c4f0ee1b86f5071acd	226.59187784193205	4	113	0xc29e9e30	-79.3089599609375
4	k_rope	2	prefill	0fb7e1fa1505bbaea89a0943eef972d167495e660ad85bcbbd3cb8a5cbb95d2b	205.90253464310692	4	113	0xc2926a8f	-73.20812225341797
4	k_rope	3	prefill	b6afd1742756af17c7e06e3fcbd8793230165e9b4e434557e3768e462a0ac975	232.73153567582395	3	113	0xc2a6f55b	-83.47920989990234
4	k_rope	4	prefill	06d5bcc57a13344ab3182231e3570496a8b0ad129b951c2c16b6c8e7d7ed627e	236.03281980424342	4	113	0xc2b31181	-89.53418731689453
4	k_rope	5	prefill	96e5b3954d7e5e812d0855a3a925bf14c5c7190ab4707fe789deabcf03b942a8	230.9567399830036	4	113	0xc2b2a8d9	-89.32978057861328
4	k_rope	6	prefill	70afe1e12e8652fbad17ff8edd2b0eddd8da91c0612bd4f500d24654a7122d40	224.1339575128934	1	113	0xc296f93e	-75.48680114746094
4	k_rope	7	prefill	f8d65114104d838c3c3b13d37e1a06227dc157bed20551189e27116546281a4b	221.5821673344102	4	113	0xc29b1514	-77.54116821289062
