position	lane	cos_hex	cos	sin_hex	sin
11	43	0x3f7ffff7	0.999999463558197	0x3a862b4a	0.001023628981783986
11	44	0x3f7ffffa	0.9999996423721313	0x3a583d00	0.0008248835802078247
11	45	0x3f7ffffd	0.9999998211860657	0x3a2e4101	0.000664725957904011
11	46	0x3f7ffffe	0.9999998807907104	0x3a0c6bd3	0.0005356643232516944
11	47	0x3f7fffff	0.9999999403953552	0x39e2508b	0.0004316608828958124
11	48	0x3f7fffff	0.9999999403953552	0x39b65fb5	0.00034785052412189543
11	49	0x3f800000	1.0	0x3992f6ed	0.0002803126408252865
11	50	0x3f800000	1.0	0x396cdc48	0.00022588775027543306
11	51	0x3f800000	1.0	0x393edf46	0.0001820298784878105
11	52	0x3f800000	1.0	0x3919d016	0.00014668735093437135
11	53	0x3f800000	1.0	0x38f7e5d3	0.00011820685904240236
11	54	0x3f800000	1.0	0x38c7c438	9.525608038529754e-05
11	55	0x3f800000	1.0	0x38a0faf2	7.676136738155037e-05
11	56	0x3f800000	1.0	0x3881b985	6.185755046317354e-05
11	57	0x3f800000	1.0	0x38511343	4.984742190572433e-05
11	58	0x3f800000	1.0	0x38287b4d	4.016915409010835e-05
11	59	0x3f800000	1.0	0x3807c506	3.237000055378303e-05
11	60	0x3f800000	1.0	0x37dad15a	2.608511204016395e-05
11	61	0x3f800000	1.0	0x37b05524	2.1020481653977185e-05
11	62	0x3f800000	1.0	0x378e18a3	1.69391914823791e-05
11	63	0x3f800000	1.0	0x376503a8	1.3650314940605313e-05
11	64	0x3b910572	0.004425697959959507	0xbf7fff5c	-0.9999902248382568
11	65	0xbf58d3d4	-0.8469822406768799	0x3f081853	0.5316211581230164
11	66	0x3f270583	0.6524278521537781	0x3f420283	0.7578508257865906
11	67	0x3f5d478b	0.8643729090690613	0xbf00bade	-0.5028513669967651
11	68	0xbd96db3c	-0.07366034388542175	0xbf7f4df7	-0.997283399105072
11	69	0xbf53ccb7	-0.8273424506187439	0xbf0fcb6f	-0.5616979002952576
11	70	0xbf7ddcac	-0.9916484355926514	0x3e0410db	0.12897054851055145
11	71	0xbf4170c6	-0.7556270360946655	0x3f27ae38	0.6550021171569824
11	72	0xbec06f12	-0.37584739923477173	0x3f6d3b01	0.9266815781593323
11	73	0xbbb4cc22	-0.005517498590052128	0x3f7fff01	0.9999848008155823
11	74	0x3e97918d	0.2960323393344879	0x3f74868a	0.955177903175354
11	75	0x3f05306b	0.520270049571991	0x3f5a9fdd	0.8540018200874329
11	76	0x3f2dbb83	0.6786424517631531	0x3f3c0625	0.7344687581062317
11	77	0x3f497e74	0.787085771560669	0x3f1de976	0.616843581199646
11	78	0x3f5c245c	0.8599298000335693	0x3f02aa63	0.5104123950004578
11	79	0x3f688486	0.9082721471786499	0x3ed635e5	0.41837993264198303
11	80	0x3f70aae4	0.9401075839996338	0x3eae878c	0.340877890586853
11	81	0x3f760210	0.9609689712524414	0x3e8da5df	0.2766561210155487
11	82	0x3f797f1a	0.9745956659317017	0x3e6558d4	0.2239716649055481
11	83	0x3f7bc53b	0.9834782481193542	0x3e395ef5	0.18102629482746124
11	84	0x3f7d4030	0.9892606735229492	0x3e15ab75	0.14616186916828156
11	85	0x3f7e36ab	0.9930216670036316	0x3df18637	0.1179317757487297
11	86	0x3f7ed6e6	0.9954665899276733	0x3dc2ca20	0.09511208534240723
11	87	0x3f7f3f04	0.9970552921295166	0x3d9d0d8d	0.07668600231409073
11	88	0x3f7f82a8	0.9980874061584473	0x3d7d34fb	0.06181810423731804
11	89	0x3f7fae99	0.9987578988075256	0x3d4c172a	0.04982677847146988
11	90	0x3f7fcb22	0.9991933107376099	0x3d247d16	0.04015835374593735
11	91	0x3f7fddab	0.9994761347770691	0x3d04907a	0.03236434608697891
11	92	0x3f7fe9b4	0.9996597766876221	0x3cd5aa3e	0.026082154363393784
11	93	0x3f7ff185	0.9997790455818176	0x3cac2fe6	0.02101893350481987
11	94	0x3f7ff699	0.9998565316200256	0x3c8ac25c	0.016938380897045135
11	95	0x3f7ff9e5	0.9999068379402161	0x3c5fa3cd	0.01364989299327135
11	96	0x3f7ffc09	0.999939501285553	0x3c34386b	0.010999779216945171
11	97	0x3f7ffd6d	0.999960720539093	0x3c113aef	0.008864148519933224
11	98	0x3f7ffe54	0.9999744892120361	0x3bea10fc	0.007143137976527214
11	99	0x3f7ffeea	0.9999834299087524	0x3bbc9eff	0.005756258498877287
11	100	0x3f7fff4c	0.9999892711639404	0x3b97ffc5	0.004638644400984049
11	101	0x3f7fff8b	0.9999930262565613	0x3b74f994	0.003738020546734333
11	102	0x3f7fffb4	0.9999954700469971	0x3b456949	0.0030122569296509027
11	103	0x3f7fffcf	0.999997079372406	0x3b1f151a	0.002427405212074518
11	104	0x3f7fffe0	0.9999980926513672	0x3b003204	0.001956106163561344
11	105	0x3f7fffeb	0.9999987483024597	0x3ace9c4c	0.0015763132832944393
11	106	0x3f7ffff3	0.9999992251396179	0x3aa67ed8	0.0012702597305178642
11	107	0x3f7ffff7	0.999999463558197	0x3a862b4a	0.001023628981783986
11	108	0x3f7ffffa	0.9999996423721313	0x3a583d00	0.0008248835802078247
11	109	0x3f7ffffd	0.9999998211860657	0x3a2e4101	0.000664725957904011
11	110	0x3f7ffffe	0.9999998807907104	0x3a0c6bd3	0.0005356643232516944
11	111	0x3f7fffff	0.9999999403953552	0x39e2508b	0.0004316608828958124
11	112	0x3f7fffff	0.9999999403953552	0x39b65fb5	0.00034785052412189543
11	113	0x3f800000	1.0	0x3992f6ed	0.0002803126408252865
11	114	0x3f800000	1.0	0x396cdc48	0.00022588775027543306
11	115	0x3f800000	1.0	0x393edf46	0.0001820298784878105
11	116	0x3f800000	1.0	0x3919d016	0.00014668735093437135
11	117	0x3f800000	1.0	0x38f7e5d3	0.00011820685904240236
11	118	0x3f800000	1.0	0x38c7c438	9.525608038529754e-05
11	119	0x3f800000	1.0	0x38a0faf2	7.676136738155037e-05
11	120	0x3f800000	1.0	0x3881b985	6.185755046317354e-05
11	121	0x3f800000	1.0	0x38511343	4.984742190572433e-05
11	122	0x3f800000	1.0	0x38287b4d	4.016915409010835e-05
11	123	0x3f800000	1.0	0x3807c506	3.237000055378303e-05
11	124	0x3f800000	1.0	0x37dad15a	2.608511204016395e-05
11	125	0x3f800000	1.0	0x37b05524	2.1020481653977185e-05
11	126	0x3f800000	1.0	0x378e18a3	1.69391914823791e-05
11	127	0x3f800000	1.0	0x376503a8	1.3650314940605313e-05
12	0	0x3f5806d0	0.8438539505004883	0xbf095cd8	-0.5365729331970215
12	1	0xbf7855b0	-0.970057487487793	0xbe78b455	-0.24287541210651398
12	2	0x3d7b5832	0.06136340647935867	0x3f7f847f	0.9981154799461365
12	3	0x3f7fff94	0.9999935626983643	0xbb6ba4f0	-0.003595646470785141
12	4	0x3eae9626	0.34098929166793823	0xbf70a83e	-0.9400671720504761
12	5	0xbf17c229	-0.5928063988685608	0xbf4e2b17	-0.8053449988365173
12	6	0xbf7d54e2	-0.9895764589309692	0xbe1376ff	-0.14400862157344818
12	7	0xbf6173e5	-0.8806746602058411	0x3ef28ba3	0.47372159361839294
12	8	0xbf08a9f0	-0.5338430404663086	0x3f58782b	0.8455836176872253
12	9	0xbe17d424	-0.14827018976211548	0x3f7d2b9f	0.9889468550682068
12	10	0x3e3c6b6a	0.18400350213050842	0x3f7ba103	0.9829255938529968
12	11	0x3ee09865	0.43866267800331116	0x3f660e0b	0.8986517786979675
12	12	0x3f1f2859	0.621709406375885	0x3f4882f0	0.7832479476928711
12	13	0x3f3f96e4	0.7483961582183838	0x3f29cae2	0.6632519960403442
12	14	0x3f558545	0.834064781665802	0x3f0d3a05	0.5516665577888489
12	15	0x3f642300	0.8911590576171875	0x3ee84a30	0.4536910057067871
12	16	0x3f6dc9c3	0.9288598895072937	0x3ebda92d	0.3704313337802887
12	17	0x3f741fa3	0.9536077380180359	0x3e9a237c	0.3010519742965698
12	18	0x3f78443c	0.9697911739349365	0x3e79ca84	0.24393659830093384
12	19	0x3f7af818	0.9803481101989746	0x3e4a0299	0.1972755342721939
12	20	0x3f7cbab1	0.9872236847877502	0x3e232a28	0.159340500831604
12	21	0x3f7ddfdc	0.9916970729827881	0x3e03aea2	0.12859585881233215
12	22	0x3f7e9e79	0.9946056008338928	0x3dd46fc4	0.10372880101203918
12	23	0x3f7f1a5b	0.9964959025382996	0x3dab4c69	0.08364183455705643
12	24	0x3f7f6ad8	0.9977240562438965	0x3d8a189d	0.06742975860834122
12	25	0x3f7f9f20	0.9985218048095703	0x3d5ea06c	0.054352208971977234
12	26	0x3f7fc116	0.9990400075912476	0x3d336ed6	0.04380687326192856
12	27	0x3f7fd725	0.9993765950202942	0x3d109c62	0.035305388271808624
12	28	0x3f7fe578	0.9995951652526855	0x3ce91586	0.028452645987272263
12	29	0x3f7feec5	0.9997370839118958	0x3cbbd67d	0.022929424419999123
12	30	0x3f7ff4d0	0.9998292922973633	0x3c975f50	0.018478065729141235
12	31	0x3f7ff8bc	0.9998891353607178	0x3c73f823	0.014890703372657299
12	32	0x3f7ffb48	0.9999279975891113	0x3c449a71	0.011999712325632572
12	33	0x3f7ffcf0	0.9999532699584961	0x3c1e6ebc	0.0096699558198452
12	34	0x3f7ffe03	0.9999696612358093	0x3bff583d	0.0077925012446939945
12	35	0x3f7ffeb5	0.9999802708625793	0x3bcdc4aa	0.0062795476987957954
12	36	0x3f7fff2a	0.9999872446060181	0x3ba5d12e	0.0050603365525603294
12	37	0x3f7fff75	0.9999917149543762	0x3b859f64	0.004077838733792305
12	38	0x3f7fffa6	0.9999946355819702	0x3b575b92	0.003286097664386034
12	39	0x3f7fffc5	0.9999964833259583	0x3b2d8b61	0.0026480781380087137
12	40	0x3f7fffda	0.9999977350234985	0x3b0bd977	0.0021339335944503546
12	41	0x3f7fffe8	0.9999985694885254	0x3ae164af	0.0017196143744513392
12	42	0x3f7ffff0	0.9999990463256836	0x3ab5a1a6	0.0013857379090040922
12	43	0x3f7ffff6	0.9999994039535522	0x3a925dc6	0.0011166862677782774
12	44	0x3f7ffff9	0.9999995827674866	0x3a6be574	0.0008998729754239321
12	45	0x3f7ffffc	0.9999997615814209	0x3a3e185e	0.0007251555798575282
12	46	0x3f7ffffd	0.9999998211860657	0x3a192fcd	0.0005843609687872231
12	47	0x3f7ffffe	0.9999998807907104	0x39f6e37f	0.0004709027416538447
12	48	0x3f7fffff	0.9999999403953552	0x39c6f40b	0.00037947329110465944
12	49	0x3f800000	1.0	0x39a05331	0.00030579560552723706
12	50	0x3f800000	1.0	0x39813256	0.00024642300559207797
12	51	0x3f800000	1.0	0x39503964	0.00019857805455103517
12	52	0x3f800000	1.0	0x3927cbbb	0.00016002256597857922
12	53	0x3f800000	1.0	0x3907378a	0.00012895293184556067
12	54	0x3f800000	1.0	0x38d9ed54	0.00010391572141088545
12	55	0x3f800000	1.0	0x38af9d66	8.373968012165278e-05
12	56	0x3f800000	1.0	0x388d8491	6.748096348019317e-05
12	57	0x3f800000	1.0	0x38641503	5.4379004723159596e-05
12	58	0x3f800000	1.0	0x3837cc54	4.382089537102729e-05
12	59	0x3f800000	1.0	0x38141cc0	3.5312725231051445e-05
12	60	0x3f800000	1.0	0x37eeb5d6	2.8456484869820997e-05
12	61	0x3f800000	1.0	0x37c05ce2	2.2931435523787513e-05
12	62	0x3f800000	1.0	0x379b039b	1.8479118807590567e-05
12	63	0x3f800000	1.0	0x3779d572	1.4891253158566542e-05
12	64	0x3f5806d0	0.8438539505004883	0xbf095cd8	-0.5365729331970215
12	65	0xbf7855b0	-0.970057487487793	0xbe78b455	-0.24287541210651398
12	66	0x3d7b5832	0.06136340647935867	0x3f7f847f	0.9981154799461365
12	67	0x3f7fff94	0.9999935626983643	0xbb6ba4f0	-0.003595646470785141
12	68	0x3eae9626	0.34098929166793823	0xbf70a83e	-0.9400671720504761
12	69	0xbf17c229	-0.5928063988685608	0xbf4e2b17	-0.8053449988365173
12	70	0xbf7d54e2	-0.9895764589309692	0xbe1376ff	-0.14400862157344818
12	71	0xbf6173e5	-0.8806746602058411	0x3ef28ba3	0.47372159361839294
12	72	0xbf08a9f0	-0.5338430404663086	0x3f58782b	0.8455836176872253
12	73	0xbe17d424	-0.14827018976211548	0x3f7d2b9f	0.9889468550682068
12	74	0x3e3c6b6a	0.18400350213050842	0x3f7ba103	0.9829255938529968
12	75	0x3ee09865	0.43866267800331116	0x3f660e0b	0.8986517786979675
12	76	0x3f1f2859	0.621709406375885	0x3f4882f0	0.7832479476928711
12	77	0x3f3f96e4	0.7483961582183838	0x3f29cae2	0.6632519960403442
12	78	0x3f558545	0.834064781665802	0x3f0d3a05	0.5516665577888489
12	79	0x3f642300	0.8911590576171875	0x3ee84a30	0.4536910057067871
12	80	0x3f6dc9c3	0.9288598895072937	0x3ebda92d	0.3704313337802887
12	81	0x3f741fa3	0.9536077380180359	0x3e9a237c	0.3010519742965698
12	82	0x3f78443c	0.9697911739349365	0x3e79ca84	0.24393659830093384
12	83	0x3f7af818	0.9803481101989746	0x3e4a0299	0.1972755342721939
12	84	0x3f7cbab1	0.9872236847877502	0x3e232a28	0.159340500831604
12	85	0x3f7ddfdc	0.9916970729827881	0x3e03aea2	0.12859585881233215
12	86	0x3f7e9e79	0.9946056008338928	0x3dd46fc4	0.10372880101203918
12	87	0x3f7f1a5b	0.9964959025382996	0x3dab4c69	0.08364183455705643
12	88	0x3f7f6ad8	0.9977240562438965	0x3d8a189d	0.06742975860834122
12	89	0x3f7f9f20	0.9985218048095703	0x3d5ea06c	0.054352208971977234
12	90	0x3f7fc116	0.9990400075912476	0x3d336ed6	0.04380687326192856
12	91	0x3f7fd725	0.9993765950202942	0x3d109c62	0.035305388271808624
12	92	0x3f7fe578	0.9995951652526855	0x3ce91586	0.028452645987272263
12	93	0x3f7feec5	0.9997370839118958	0x3cbbd67d	0.022929424419999123
12	94	0x3f7ff4d0	0.9998292922973633	0x3c975f50	0.018478065729141235
12	95	0x3f7ff8bc	0.9998891353607178	0x3c73f823	0.014890703372657299
12	96	0x3f7ffb48	0.9999279975891113	0x3c449a71	0.011999712325632572
12	97	0x3f7ffcf0	0.9999532699584961	0x3c1e6ebc	0.0096699558198452
12	98	0x3f7ffe03	0.9999696612358093	0x3bff583d	0.0077925012446939945
12	99	0x3f7ffeb5	0.9999802708625793	0x3bcdc4aa	0.0062795476987957954
12	100	0x3f7fff2a	0.9999872446060181	0x3ba5d12e	0.0050603365525603294
12	101	0x3f7fff75	0.9999917149543762	0x3b859f64	0.004077838733792305
12	102	0x3f7fffa6	0.9999946355819702	0x3b575b92	0.003286097664386034
12	103	0x3f7fffc5	0.9999964833259583	0x3b2d8b61	0.0026480781380087137
12	104	0x3f7fffda	0.9999977350234985	0x3b0bd977	0.0021339335944503546
12	105	0x3f7fffe8	0.9999985694885254	0x3ae164af	0.0017196143744513392
12	106	0x3f7ffff0	0.9999990463256836	0x3ab5a1a6	0.0013857379090040922
12	107	0x3f7ffff6	0.9999994039535522	0x3a925dc6	0.0011166862677782774
12	108	0x3f7ffff9	0.9999995827674866	0x3a6be574	0.0008998729754239321
12	109	0x3f7ffffc	0.9999997615814209	0x3a3e185e	0.0007251555798575282
12	110	0x3f7ffffd	0.9999998211860657	0x3a192fcd	0.0005843609687872231
12	111	0x3f7ffffe	0.9999998807907104	0x39f6e37f	0.0004709027416538447
12	112	0x3f7fffff	0.9999999403953552	0x39c6f40b	0.00037947329110465944
12	113	0x3f800000	1.0	0x39a05331	0.00030579560552723706
12	114	0x3f800000	1.0	0x39813256	0.00024642300559207797
12	115	0x3f800000	1.0	0x39503964	0.00019857805455103517
12	116	0x3f800000	1.0	0x3927cbbb	0.00016002256597857922
12	117	0x3f800000	1.0	0x3907378a	0.00012895293184556067
12	118	0x3f800000	1.0	0x38d9ed54	0.00010391572141088545
12	119	0x3f800000	1.0	0x38af9d66	8.373968012165278e-05
12	120	0x3f800000	1.0	0x388d8491	6.748096348019317e-05
12	121	0x3f800000	1.0	0x38641503	5.4379004723159596e-05
12	122	0x3f800000	1.0	0x3837cc54	4.382089537102729e-05
12	123	0x3f800000	1.0	0x38141cc0	3.5312725231051445e-05
12	124	0x3f800000	1.0	0x37eeb5d6	2.8456484869820997e-05
12	125	0x3f800000	1.0	0x37c05ce2	2.2931435523787513e-05
12	126	0x3f800000	1.0	0x379b039b	1.8479118807590567e-05
12	127	0x3f800000	1.0	0x3779d572	1.4891253158566542e-05
