sample_index	series_key	observation_index	duration_ns
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	9	3049500
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	10	3065166
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	11	3054542
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	12	3053917
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	13	3057666
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	14	3058667
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	15	3047666
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	16	3053250
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	17	3051041
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	18	3050250
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	19	3049750
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	20	3069959
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	21	3047875
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	22	3044375
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	23	3057459
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	24	3049916
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	25	3042167
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	26	3054333
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	27	3045166
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	28	3042042
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	29	3049584
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	30	3057708
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	31	3048500
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	32	3046792
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	33	3051750
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	34	3048416
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	35	3056875
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	36	3047875
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	37	3053500
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	38	3046333
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	39	3058250
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	40	3057083
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	41	3051583
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	42	3042959
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	43	3052875
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	44	3052125
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	45	3042666
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	46	3053000
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	47	3050667
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	48	3047083
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	49	3053417
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	0	7798000
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	1	7772666
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	2	7776542
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	3	7773500
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	4	7780625
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	5	7797417
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	6	7776333
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	7	7779000
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	8	7767291
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	9	7762875
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	10	7767500
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	11	7761584
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	12	7772166
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	13	7756667
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	14	7764416
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	15	7760750
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	16	7774750
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	17	7768959
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	18	7771875
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	19	7770542
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	20	7777958
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	21	7756375
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	22	7754292
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	23	7770417
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	24	7760000
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	25	7766875
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	26	7760250
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	27	7763125
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	28	7783458
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	29	7765583
5	5:request-five-governed:targets=2:providers=0:kind=empty:program=five-op	30	7767583
